product_id,sku_id,size_inches,amazon_asin,bestbuy_sku,best_price,price_source,amazon_price,buy_box_price,list_price,bestbuy_price,bestbuy_regular,rtings_price,price_per_m2,price_date
126616,16064,27.0,B0GD21577Z,,236.0,amazon_3p,247.69,,247.69,,,247.69,1174.3145723755251,2026-04-13
96305,16076,27.0,B0F146MYKD,,219.99,amazon,219.99,,219.99,,,219.99,1094.6502660037786,2026-04-13
127358,16077,,,,,,,,,,,,,2026-04-13
126131,16111,27.0,B0FLM15Q5L,,236.97,amazon_3p,249.99,,249.99,,,249.99,1179.1412043043567,2026-04-13
127454,16203,,,,999.99,rtings,,,,,,999.99,,2026-04-13
114001,16291,,,,,,,,,,,,,2026-04-13
110675,16342,27.0,B0FX8FD62M,6668647,1099.0,amazon,1099.0,,1099.0,1099.99,1099.99,1099.99,5468.5242162741615,2026-04-13
127444,16421,27.0,,,,,,,,,,,,2026-04-13
133967,16469,27.0,,,,,,,,,,,,2026-04-13
133967,16470,27.0,,,1499.0,rtings,,,,,,1499.0,7458.8878982665765,2026-04-13
133967,16471,27.0,,,,,,,,,,,,2026-04-13
133967,16472,27.0,,,,,,,,,,,,2026-04-13
133967,16473,27.0,,,1799.0,rtings,,,,,,1799.0,8951.660659760888,2026-04-13
133967,16474,27.0,,,,,,,,,,,,2026-04-13
133968,16482,27.0,,,3199.0,rtings,,,,,,3199.0,15917.933546734343,2026-04-13
133968,16483,27.0,,,3599.0,rtings,,,,,,3599.0,17908.29722872676,2026-04-13
133968,16484,27.0,B0GR19DXGJ,,2899.0,rtings,,,,,,2899.0,14425.16078524003,2026-04-13
133968,16485,27.0,B0GR1FQ6JQ,,3299.0,amazon,3299.0,,3299.0,,,3299.0,16415.524467232444,2026-04-13
