product_id,sku_id,size_inches,amazon_asin,bestbuy_sku,best_price,price_source,amazon_price,buy_box_price,list_price,bestbuy_price,bestbuy_regular,rtings_price,price_per_m2,screen_area_m2,price_date
53323,10930,55.0,,6578581,649.99,bestbuy,,,,649.99,699.99,649.99,999.9846153846154,0.65,2026-03-02
53323,10931,65.0,,6578579,749.99,bestbuy,,,,749.99,799.99,749.99,824.1648351648352,0.91,2026-03-02
53323,10932,75.0,,6578582,949.99,bestbuy,,,,949.99,999.99,949.99,785.1157024793389,1.21,2026-03-02
53323,10933,85.0,,6578578,999.99,bestbuy,,,,999.99,1499.99,999.99,641.0192307692307,1.56,2026-03-02
57179,10934,50.0,B0CY19RSV5,,999.99,rtings,,,,,,999.99,1851.8333333333333,0.54,2026-03-02
57179,10935,55.0,,,1099.99,rtings,,,,,,1099.99,1692.2923076923078,0.65,2026-03-02
57179,10936,65.0,B0CXZZN3VY,,1299.99,rtings,,,,,,1299.99,1428.5604395604396,0.91,2026-03-02
57179,10937,75.0,B0CXZPHB58,,1999.99,rtings,,,,,,1999.99,1652.8842975206612,1.21,2026-03-02
57179,10938,85.0,B0CXZNY3ZH,,2299.99,rtings,,,,,,2299.99,1474.352564102564,1.56,2026-03-02
61045,10953,75.0,B0CY4QVD4C,,,,,,,,,,,1.21,2026-03-02
60899,11029,,B0D4Y381D7,,,,,,,,,,,,2026-03-02
60899,11030,65.0,B0CZLXG2ZB,,,,,,,,,,,0.91,2026-03-02
60899,11031,75.0,B0CZML9HLD,,,,,,,,,,,1.21,2026-03-02
60899,11032,,B0D4XKYVG1,,1198.0,rtings,,,,,,1198.0,,,2026-03-02
60899,11033,98.0,B0CZLXPR65,,,,,,,,,,,2.07,2026-03-02
60903,11056,43.0,,6579458,219.99,bestbuy,,,,219.99,239.99,219.99,549.975,0.4,2026-03-02
60903,11057,50.0,,6579462,259.99,bestbuy,,,,259.99,299.99,259.99,481.46296296296293,0.54,2026-03-02
